Name,Language
Argentina,Spanish
Belize,Spanish
Bolivia (Plurinational State of),Spanish
Chile,Spanish
Colombia,Spanish
Costa Rica,Spanish
Cuba,Spanish
Dominican Republic,Spanish
Ecuador,Spanish
El Salvador,Spanish
Equatorial Guinea,Spanish
Guam,Spanish
Guatemala,Spanish
Honduras,Spanish
Mexico,Spanish
Nicaragua,Spanish
Panama,Spanish
Paraguay,Spanish
Peru,Spanish
Puerto Rico,Spanish
Spain,Spanish
Uruguay,Spanish
Venezuela (Bolivarian Republic of),Spanish
Western Sahara,Spanish
Holy See,Italian
Italy,Italian
San Marino,Italian
Switzerland,Italian
Fiji,Hindi
India,Hindi
